 Negtive; Neutral;Positive;compound;sentimen
0.317;0.603;0.08;-0.6908;negatif
0.207;0.61;0.183;-0.1779;negatif
0.139;0.861;0.0;-0.5267;negatif
0.114;0.838;0.048;-0.4508;negatif
0.141;0.788;0.071;-0.4019;negatif
0.125;0.847;0.028;-0.743;negatif
0.18;0.688;0.132;-0.2263;negatif
0.231;0.738;0.03;-0.9261;negatif
0.236;0.764;0.0;-0.5267;negatif
0.247;0.753;0.0;-0.9253;negatif
0.238;0.762;0.0;-0.8176;negatif
0.136;0.773;0.091;-0.4588;negatif
0.113;0.839;0.048;-0.5574;negatif
0.12;0.88;0.0;-0.7184;negatif
0.111;0.752;0.137;-0.0552;negatif
0.174;0.661;0.165;-0.046;negatif
0.134;0.81;0.055;-0.6124;negatif
0.084;0.86;0.057;-0.2732;negatif
0.067;0.906;0.028;-0.4588;negatif
0.072;0.767;0.161;0.2833;positif
0.152;0.797;0.052;-0.7307;negatif
0.362;0.638;0.0;-0.5267;negatif
0.108;0.791;0.101;-0.0516;negatif
0.114;0.808;0.077;-0.2732;negatif
0.084;0.916;0.0;-0.2732;negatif
0.255;0.641;0.104;-0.7907;negatif
0.105;0.841;0.054;-0.4391;negatif
0.235;0.765;0.0;-0.9216;negatif
0.099;0.901;0.0;-0.6808;negatif
0.115;0.859;0.027;-0.6486;negatif
0.067;0.845;0.088;0.0258;positif
0.111;0.814;0.075;-0.2732;negatif
0.127;0.787;0.086;-0.2732;negatif
0.098;0.836;0.066;-0.2732;negatif
0.118;0.801;0.08;-0.2732;negatif
0.089;0.841;0.07;-0.296;negatif
0.109;0.838;0.053;-0.4767;negatif
0.51;0.49;0.0;-0.6369;negatif
0.122;0.645;0.233;0.477;positif
0.302;0.466;0.233;-0.3244;negatif
0.151;0.665;0.184;-0.066;negatif
0.416;0.265;0.319;-0.2732;negatif
0.12;0.88;0.0;-0.5267;negatif
0.0;0.746;0.254;0.5789;positif
0.093;0.845;0.063;-0.2732;negatif
0.082;0.918;0.0;-0.5267;negatif
0.083;0.782;0.135;0.0372;positif
0.146;0.822;0.032;-0.6771;negatif
0.085;0.846;0.07;-0.1531;negatif
0.152;0.714;0.134;0.0516;positif
0.169;0.697;0.134;-0.1779;negatif
0.242;0.662;0.096;-0.7717;negatif
0.159;0.841;0.0;-0.5267;negatif
0.249;0.751;0.0;-0.9268;negatif
0.12;0.808;0.071;-0.5574;negatif
0.26;0.579;0.16;-0.8814;negatif
0.0;0.645;0.355;0.6705;positif
0.173;0.778;0.05;-0.5927;negatif
0.197;0.669;0.134;-0.2865;negatif
0.246;0.598;0.155;-0.798;negatif
0.272;0.56;0.168;-0.3182;negatif
0.153;0.847;0.0;-0.4019;negatif
0.098;0.862;0.04;-0.4588;negatif
0.108;0.84;0.052;-0.34;negatif
0.231;0.769;0.0;-0.6597;negatif
0.358;0.56;0.082;-0.8107;negatif
0.367;0.633;0.0;-0.8908;negatif
0.15;0.85;0.0;-0.7009;negatif
0.144;0.754;0.102;-0.3291;negatif
0.149;0.702;0.149;0.0;neutral
0.151;0.578;0.271;0.4019;positif
0.147;0.741;0.112;-0.5346;negatif
0.327;0.481;0.192;-0.34;negatif
0.071;0.831;0.098;0.2263;positif
0.333;0.667;0.0;-0.8176;negatif
0.096;0.774;0.13;0.0516;positif
0.115;0.746;0.139;0.1779;positif
0.286;0.714;0.0;-0.8016;negatif
0.319;0.496;0.184;-0.5859;negatif
0.124;0.752;0.124;0.0;neutral
0.375;0.625;0.0;-0.8402;negatif
0.345;0.588;0.067;-0.765;negatif
0.083;0.854;0.063;-0.2023;negatif
0.201;0.738;0.062;-0.6915;negatif
0.179;0.746;0.075;-0.5423;negatif
0.122;0.621;0.257;0.8225;positif
0.373;0.498;0.129;-0.7096;negatif
0.134;0.768;0.098;-0.2755;negatif
0.346;0.654;0.0;-0.5817;negatif
0.357;0.643;0.0;-0.9325;negatif
0.298;0.702;0.0;-0.5267;negatif
0.351;0.578;0.071;-0.9633;negatif
0.273;0.727;0.0;-0.7184;negatif
0.084;0.916;0.0;-0.5267;negatif
0.528;0.472;0.0;-0.7717;negatif
0.084;0.794;0.122;0.128;positif
0.162;0.838;0.0;-0.875;negatif
0.089;0.836;0.076;-0.128;negatif
0.254;0.673;0.072;-0.8074;negatif
0.168;0.792;0.04;-0.7351;negatif
0.096;0.839;0.065;-0.4215;negatif
0.375;0.625;0.0;-0.765;negatif
0.133;0.838;0.029;-0.6803;negatif
0.423;0.282;0.296;-0.2023;negatif
0.233;0.592;0.175;-0.5927;negatif
0.239;0.761;0.0;-0.765;negatif
0.128;0.78;0.092;-0.3818;negatif
0.126;0.724;0.15;0.0772;positif
0.127;0.708;0.166;0.2732;positif
0.463;0.537;0.0;-0.7845;negatif
0.222;0.778;0.0;-0.6908;negatif
0.228;0.586;0.186;-0.3612;negatif
0.049;0.823;0.128;0.5574;positif
0.366;0.558;0.077;-0.8516;negatif
0.069;0.85;0.081;-0.1027;negatif
0.149;0.6;0.25;0.5994;positif
0.278;0.448;0.274;-0.0258;negatif
0.613;0.387;0.0;-0.8779;negatif
0.252;0.593;0.155;-0.3197;negatif
0.234;0.621;0.145;-0.3818;negatif
0.13;0.766;0.103;-0.1779;negatif
0.092;0.757;0.151;0.2964;positif
0.135;0.598;0.267;0.5106;positif
0.407;0.593;0.0;-0.9681;negatif
0.158;0.51;0.333;0.5831;positif
0.0;0.81;0.19;0.7955;positif
0.18;0.6;0.22;0.1027;positif
0.246;0.652;0.101;-0.4588;negatif
0.058;0.942;0.0;-0.1531;negatif
0.197;0.705;0.098;-0.7004;negatif
0.248;0.543;0.209;-0.128;negatif
0.31;0.547;0.144;-0.8074;negatif
0.124;0.657;0.219;0.3818;positif
0.158;0.744;0.098;-0.3182;negatif
0.327;0.612;0.061;-0.8658;negatif
0.164;0.635;0.201;0.1994;positif
0.172;0.828;0.0;-0.8807;negatif
0.125;0.636;0.239;0.8625;positif
0.268;0.686;0.047;-0.9267;negatif
0.13;0.613;0.257;0.5106;positif
0.119;0.814;0.067;-0.3612;negatif
0.217;0.629;0.154;-0.4576;negatif
0.368;0.632;0.0;-0.7906;negatif
0.144;0.856;0.0;-0.6207;negatif
0.0;0.9;0.1;0.25;positif
0.066;0.837;0.097;0.1531;positif
0.222;0.655;0.122;-0.6983;negatif
0.243;0.601;0.157;-0.3757;negatif
0.115;0.814;0.071;-0.3182;negatif
0.099;0.789;0.111;-0.1531;negatif
0.106;0.76;0.133;0.269;positif
0.301;0.659;0.04;-0.9531;negatif
0.677;0.323;0.0;-0.4939;negatif
0.157;0.843;0.0;-0.7845;negatif
0.449;0.551;0.0;-0.6908;negatif
0.226;0.774;0.0;-0.7184;negatif
0.213;0.721;0.066;-0.8689;negatif
0.0;0.335;0.665;0.8979;positif
0.146;0.649;0.205;0.2732;positif
0.0;0.814;0.186;0.1531;positif
0.37;0.6;0.029;-0.9678;negatif
0.2;0.719;0.081;-0.5859;negatif
0.31;0.69;0.0;-0.4019;negatif
0.366;0.634;0.0;-0.6369;negatif
0.222;0.523;0.255;-0.128;negatif
0.28;0.613;0.106;-0.8176;negatif
0.307;0.693;0.0;-0.8519;negatif
0.121;0.674;0.206;0.34;positif
0.184;0.777;0.039;-0.797;negatif
0.174;0.662;0.163;-0.4124;negatif
0.222;0.704;0.075;-0.8534;negatif
0.161;0.743;0.096;-0.5616;negatif
0.216;0.742;0.041;-0.8788;negatif
0.288;0.712;0.0;-0.9029;negatif
0.22;0.687;0.093;-0.5719;negatif
0.176;0.781;0.043;-0.854;negatif
0.286;0.504;0.21;-0.2263;negatif
0.157;0.602;0.241;0.2023;positif
0.26;0.689;0.051;-0.8481;negatif
0.054;0.816;0.13;0.5719;positif
0.103;0.76;0.137;-0.0258;negatif
0.309;0.618;0.072;-0.9403;negatif
0.119;0.708;0.173;0.0516;positif
0.338;0.597;0.065;-0.7579;negatif
0.0;0.856;0.144;0.6369;positif
0.182;0.749;0.07;-0.4767;negatif
0.107;0.852;0.041;-0.4767;negatif
0.192;0.678;0.13;-0.2732;negatif
0.204;0.706;0.09;-0.4404;negatif
0.158;0.748;0.094;-0.631;negatif
0.2;0.67;0.13;-0.6023;negatif
0.667;0.333;0.0;-0.7184;negatif
0.19;0.726;0.084;-0.4404;negatif
0.231;0.544;0.224;-0.0258;negatif
