 Negtive; Neutral;Positive;compound;sentimen
0.11;0.812;0.078;-0.25;negatif
0.0;0.899;0.101;0.4019;positif
0.197;0.658;0.145;-0.6908;negatif
0.0;0.875;0.125;0.6496;positif
0.185;0.734;0.082;-0.7003;negatif
0.18;0.743;0.077;-0.5994;negatif
0.186;0.766;0.048;-0.7227;negatif
0.118;0.767;0.115;-0.0258;negatif
0.16;0.66;0.18;-0.0431;negatif
0.291;0.709;0.0;-0.8225;negatif
0.313;0.598;0.089;-0.8674;negatif
0.383;0.617;0.0;-0.8271;negatif
0.228;0.772;0.0;-0.7783;negatif
0.355;0.645;0.0;-0.9022;negatif
0.134;0.751;0.115;-0.128;negatif
0.171;0.756;0.073;-0.5994;negatif
0.172;0.777;0.052;-0.5719;negatif
0.081;0.853;0.066;-0.1531;negatif
0.097;0.745;0.157;0.2716;positif
0.381;0.619;0.0;-0.8225;negatif
0.252;0.518;0.23;0.0772;positif
0.265;0.701;0.034;-0.8225;negatif
0.256;0.744;0.0;-0.8387;negatif
0.122;0.824;0.054;-0.4404;negatif
0.161;0.711;0.128;-0.1779;negatif
0.202;0.798;0.0;-0.6486;negatif
0.099;0.725;0.177;0.4019;positif
0.211;0.681;0.108;-0.6486;negatif
0.101;0.828;0.071;-0.25;negatif
0.0;0.875;0.125;0.6124;positif
0.287;0.569;0.144;-0.7003;negatif
0.219;0.677;0.103;-0.5574;negatif
0.111;0.784;0.104;-0.0534;negatif
0.224;0.776;0.0;-0.8176;negatif
0.164;0.707;0.129;-0.4951;negatif
0.285;0.665;0.049;-0.9001;negatif
0.072;0.87;0.057;-0.1779;negatif
0.201;0.533;0.266;0.1531;positif
0.118;0.849;0.033;-0.7096;negatif
0.076;0.874;0.049;-0.296;negatif
0.123;0.725;0.152;0.2023;positif
0.143;0.798;0.059;-0.7184;negatif
0.293;0.707;0.0;-0.8957;negatif
0.142;0.502;0.356;0.6249;positif
0.157;0.737;0.106;-0.2732;negatif
0.0;0.466;0.534;0.8519;positif
0.224;0.705;0.071;-0.8793;negatif
0.42;0.247;0.333;-0.1779;negatif
0.12;0.707;0.173;0.128;positif
0.073;0.927;0.0;-0.5267;negatif
0.231;0.769;0.0;-0.9001;negatif
0.088;0.82;0.092;-0.1901;negatif
0.309;0.545;0.145;-0.4215;negatif
0.172;0.828;0.0;-0.6124;negatif
0.67;0.33;0.0;-0.7269;negatif
0.0;0.835;0.165;0.7096;positif
0.138;0.526;0.336;0.5994;positif
0.127;0.873;0.0;-0.7269;negatif
0.077;0.774;0.149;0.3947;positif
0.123;0.578;0.3;0.5994;positif
0.359;0.578;0.063;-0.9418;negatif
0.405;0.595;0.0;-0.8807;negatif
0.265;0.612;0.122;-0.5994;negatif
0.199;0.622;0.178;-0.568;negatif
0.411;0.521;0.068;-0.9767;negatif
0.31;0.644;0.046;-0.9732;negatif
0.124;0.545;0.331;0.6924;positif
0.21;0.79;0.0;-0.7269;negatif
0.088;0.856;0.056;-0.1531;negatif
0.266;0.636;0.098;-0.7876;negatif
0.254;0.746;0.0;-0.7783;negatif
0.516;0.484;0.0;-0.9153;negatif
0.181;0.754;0.065;-0.6662;negatif
0.145;0.723;0.132;-0.0772;negatif
0.354;0.521;0.125;-0.6597;negatif
0.343;0.657;0.0;-0.7783;negatif
0.077;0.797;0.125;0.2716;positif
0.236;0.625;0.139;-0.34;negatif
0.312;0.625;0.062;-0.8625;negatif
0.16;0.704;0.136;-0.128;negatif
0.18;0.82;0.0;-0.7783;negatif
0.13;0.778;0.092;-0.1154;negatif
0.155;0.773;0.073;-0.4215;negatif
0.149;0.744;0.108;-0.5719;negatif
0.139;0.799;0.061;-0.7003;negatif
0.362;0.638;0.0;-0.7783;negatif
0.261;0.575;0.165;-0.5423;negatif
0.215;0.629;0.156;-0.4215;negatif
0.067;0.707;0.226;0.7269;positif
0.122;0.824;0.054;-0.5106;negatif
0.241;0.567;0.191;-0.1779;negatif
0.13;0.728;0.142;0.0772;positif
0.125;0.738;0.137;0.0772;positif
0.113;0.764;0.123;0.0772;positif
0.207;0.729;0.064;-0.6908;negatif
0.0;0.939;0.061;0.0772;positif
0.206;0.794;0.0;-0.3804;negatif
0.069;0.847;0.085;-0.0516;negatif
0.148;0.783;0.07;-0.4215;negatif
0.17;0.75;0.08;-0.4215;negatif
0.192;0.712;0.096;-0.7479;negatif
0.131;0.788;0.081;-0.5574;negatif
0.312;0.688;0.0;-0.7783;negatif
0.1;0.704;0.196;0.3167;positif
0.145;0.638;0.218;0.3506;positif
0.243;0.643;0.114;-0.4215;negatif
0.0;0.781;0.219;0.6369;positif
0.192;0.732;0.076;-0.6249;negatif
0.16;0.613;0.226;0.1027;positif
0.358;0.382;0.26;-0.4215;negatif
0.0;0.87;0.13;0.128;positif
0.272;0.617;0.111;-0.5994;negatif
0.164;0.625;0.211;0.4585;positif
0.098;0.747;0.155;0.25;positif
0.087;0.742;0.171;0.5106;positif
0.255;0.637;0.108;-0.5719;negatif
0.085;0.779;0.136;0.25;positif
0.303;0.569;0.128;-0.5719;negatif
0.504;0.496;0.0;-0.7269;negatif
0.095;0.754;0.151;0.25;positif
0.226;0.613;0.162;-0.7543;negatif
0.238;0.71;0.052;-0.8658;negatif
0.274;0.484;0.242;-0.204;negatif
0.054;0.701;0.245;0.8744;positif
0.071;0.707;0.223;0.7441;positif
0.173;0.714;0.112;-0.4939;negatif
0.129;0.765;0.106;-0.2589;negatif
0.102;0.811;0.087;-0.128;negatif
0.262;0.668;0.069;-0.8176;negatif
0.243;0.692;0.064;-0.8176;negatif
0.0;0.621;0.379;0.6705;positif
0.196;0.743;0.062;-0.6597;negatif
0.153;0.766;0.081;-0.3818;negatif
0.2;0.747;0.053;-0.8176;negatif
0.058;0.853;0.089;0.2023;positif
0.13;0.649;0.221;0.34;positif
0.27;0.595;0.135;-0.5267;negatif
0.243;0.571;0.186;-0.5267;negatif
0.573;0.427;0.0;-0.7717;negatif
0.182;0.765;0.053;-0.8024;negatif
0.312;0.625;0.062;-0.9274;negatif
0.305;0.569;0.126;-0.7906;negatif
0.418;0.582;0.0;-0.877;negatif
0.263;0.737;0.0;-0.7762;negatif
0.306;0.502;0.192;-0.3612;negatif
0.28;0.544;0.176;-0.3612;negatif
0.37;0.63;0.0;-0.8741;negatif
0.402;0.598;0.0;-0.877;negatif
0.306;0.586;0.108;-0.8689;negatif
0.232;0.615;0.152;-0.5434;negatif
0.248;0.681;0.071;-0.8074;negatif
0.297;0.581;0.122;-0.7906;negatif
0.229;0.673;0.099;-0.7783;negatif
0.213;0.731;0.056;-0.8176;negatif
0.196;0.72;0.084;-0.5994;negatif
0.164;0.652;0.184;-0.0516;negatif
0.25;0.7;0.05;-0.8979;negatif
0.147;0.758;0.095;-0.5267;negatif
0.436;0.564;0.0;-0.877;negatif
0.265;0.519;0.216;-0.4404;negatif
0.185;0.725;0.091;-0.7351;negatif
0.254;0.597;0.149;-0.6369;negatif
0.275;0.647;0.078;-0.8074;negatif
0.231;0.703;0.066;-0.8074;negatif
0.429;0.571;0.0;-0.936;negatif
0.209;0.736;0.055;-0.8176;negatif
0.33;0.583;0.087;-0.8176;negatif
0.295;0.549;0.156;-0.7003;negatif
0.217;0.725;0.058;-0.8176;negatif
0.288;0.655;0.057;-0.8979;negatif
0.268;0.656;0.076;-0.8074;negatif
0.397;0.528;0.075;-0.9118;negatif
0.206;0.706;0.089;-0.7783;negatif
0.163;0.767;0.07;-0.5994;negatif
0.106;0.81;0.084;-0.1779;negatif
0.246;0.578;0.176;-0.5994;negatif
0.19;0.728;0.082;-0.7783;negatif
0.276;0.65;0.073;-0.8176;negatif
0.301;0.619;0.08;-0.8176;negatif
0.226;0.71;0.064;-0.8074;negatif
0.126;0.818;0.056;-0.4404;negatif
0.217;0.722;0.062;-0.8074;negatif
0.19;0.595;0.216;-0.1531;negatif
0.0;0.774;0.226;0.7845;positif
0.248;0.546;0.206;-0.2815;negatif
0.287;0.591;0.122;-0.5994;negatif
0.249;0.685;0.066;-0.8176;negatif
0.2;0.744;0.057;-0.8074;negatif
0.322;0.678;0.0;-0.8979;negatif
0.25;0.684;0.066;-0.8439;negatif
0.341;0.525;0.134;-0.8658;negatif
0.102;0.663;0.235;0.5267;positif
0.06;0.807;0.133;0.4939;positif
0.207;0.711;0.081;-0.802;negatif
0.153;0.787;0.061;-0.6249;negatif
0.249;0.634;0.117;-0.7506;negatif
0.296;0.522;0.183;-0.3182;negatif
0.08;0.776;0.144;0.4019;positif
0.228;0.537;0.235;-0.2263;negatif
0.259;0.626;0.114;-0.7717;negatif
0.256;0.602;0.143;-0.4588;negatif
0.345;0.558;0.096;-0.7096;negatif
0.309;0.691;0.0;-0.6908;negatif
0.078;0.782;0.14;0.4019;positif
0.114;0.772;0.114;0.0;neutral
0.398;0.469;0.133;-0.7762;negatif
0.178;0.769;0.052;-0.8024;negatif
0.0;0.759;0.241;0.8476;positif
0.08;0.681;0.239;0.699;positif
0.337;0.663;0.0;-0.765;negatif
0.274;0.484;0.242;-0.1045;negatif
0.0;0.845;0.155;0.584;positif
0.137;0.684;0.179;-0.1868;negatif
0.398;0.602;0.0;-0.765;negatif
0.128;0.771;0.102;-0.3391;negatif
0.064;0.85;0.086;0.0372;positif
0.222;0.778;0.0;-0.899;negatif
0.121;0.803;0.076;-0.4644;negatif
0.232;0.556;0.212;0.1531;positif
0.209;0.632;0.158;-0.3182;negatif
0.081;0.594;0.325;0.8514;positif
0.212;0.625;0.163;-0.2023;negatif
0.194;0.617;0.188;-0.0516;negatif
0.0;0.907;0.093;0.5267;positif
0.344;0.551;0.105;-0.9313;negatif
0.087;0.767;0.146;0.3182;positif
0.338;0.558;0.103;-0.9313;negatif
0.139;0.766;0.095;-0.4939;negatif
0.0;0.92;0.08;0.34;positif
0.056;0.843;0.101;0.4019;positif
0.331;0.584;0.084;-0.5859;negatif
0.198;0.623;0.179;-0.128;negatif
0.247;0.753;0.0;-0.847;negatif
0.269;0.633;0.098;-0.7579;negatif
0.109;0.673;0.218;0.5267;positif
0.045;0.88;0.075;0.0949;positif
0.301;0.602;0.097;-0.91;negatif
0.19;0.81;0.0;-0.7783;negatif
0.239;0.423;0.338;0.1027;positif
0.285;0.667;0.048;-0.7506;negatif
0.163;0.673;0.163;0.0;neutral
0.206;0.626;0.168;-0.4404;negatif
0.142;0.667;0.192;0.34;positif
0.439;0.387;0.174;-0.6249;negatif
0.476;0.524;0.0;-0.9274;negatif
0.197;0.493;0.31;0.4404;positif
0.18;0.688;0.132;-0.4215;negatif
0.255;0.549;0.196;-0.3612;negatif
0.071;0.731;0.198;0.6223;positif
0.071;0.708;0.221;0.6369;positif
0.213;0.733;0.054;-0.8126;negatif
0.069;0.791;0.14;0.5423;positif
0.062;0.797;0.141;0.34;positif
0.201;0.739;0.06;-0.7096;negatif
0.0;0.684;0.316;0.8973;positif
0.158;0.741;0.101;-0.2996;negatif
0.316;0.558;0.126;-0.6249;negatif
0.134;0.711;0.154;0.128;positif
0.134;0.806;0.061;-0.5719;negatif
0.323;0.651;0.027;-0.9231;negatif
0.195;0.716;0.089;-0.5719;negatif
0.114;0.701;0.185;0.6486;positif
0.077;0.747;0.176;0.5267;positif
0.104;0.793;0.104;0.0;neutral
0.195;0.578;0.227;-0.0258;negatif
0.282;0.6;0.118;-0.836;negatif
0.076;0.762;0.161;0.4215;positif
0.368;0.541;0.092;-0.8807;negatif
0.081;0.842;0.077;-0.296;negatif
0.123;0.726;0.151;0.128;positif
0.319;0.681;0.0;-0.8834;negatif
0.358;0.642;0.0;-0.7717;negatif
0.353;0.647;0.0;-0.7184;negatif
0.172;0.707;0.121;-0.25;negatif
0.333;0.667;0.0;-0.7178;negatif
0.443;0.469;0.089;-0.9274;negatif
0.3;0.7;0.0;-0.8999;negatif
0.059;0.849;0.092;0.197;positif
0.268;0.684;0.048;-0.9298;negatif
0.141;0.751;0.108;-0.1779;negatif
0.351;0.412;0.237;-0.2732;negatif
0.152;0.848;0.0;-0.7783;negatif
0.187;0.744;0.069;-0.802;negatif
0.134;0.769;0.097;-0.4404;negatif
0.211;0.621;0.168;-0.1779;negatif
0.155;0.731;0.114;-0.2263;negatif
0.183;0.719;0.098;-0.6808;negatif
0.407;0.419;0.174;-0.5994;negatif
0.264;0.543;0.194;-0.2263;negatif
0.298;0.526;0.175;-0.34;negatif
0.0;0.923;0.077;0.128;positif
0.1;0.9;0.0;-0.743;negatif
0.147;0.801;0.052;-0.6564;negatif
0.286;0.714;0.0;-0.7506;negatif
0.43;0.57;0.0;-0.8074;negatif
0.389;0.611;0.0;-0.8807;negatif
0.087;0.846;0.067;-0.4215;negatif
0.085;0.87;0.044;-0.2732;negatif
0.209;0.768;0.023;-0.8934;negatif
0.066;0.879;0.055;-0.1531;negatif
0.215;0.785;0.0;-0.7964;negatif
0.078;0.892;0.03;-0.4767;negatif
0.155;0.801;0.044;-0.6808;negatif
0.258;0.742;0.0;-0.8779;negatif
0.168;0.644;0.188;0.1027;positif
0.145;0.596;0.26;0.4019;positif
0.421;0.402;0.176;-0.836;negatif
0.098;0.833;0.069;-0.25;negatif
0.234;0.723;0.043;-0.9022;negatif
0.257;0.743;0.0;-0.6369;negatif
0.127;0.749;0.124;-0.0258;negatif
0.115;0.885;0.0;-0.6808;negatif
0.297;0.703;0.0;-0.9136;negatif
0.125;0.654;0.221;0.136;positif
0.134;0.761;0.106;-0.0387;negatif
0.082;0.819;0.099;-0.0772;negatif
0.457;0.413;0.13;-0.928;negatif
0.076;0.871;0.053;-0.2516;negatif
0.392;0.45;0.158;-0.8859;negatif
0.36;0.543;0.097;-0.8481;negatif
0.194;0.628;0.178;-0.1389;negatif
0.068;0.7;0.232;0.8022;positif
0.321;0.679;0.0;-0.9217;negatif
0.06;0.669;0.271;0.8402;positif
0.156;0.844;0.0;-0.3804;negatif
0.0;0.732;0.268;0.9055;positif
0.08;0.633;0.288;0.7828;positif
0.148;0.652;0.2;0.0516;positif
0.361;0.477;0.162;-0.8176;negatif
0.309;0.516;0.175;-0.3804;negatif
0.291;0.663;0.046;-0.9017;negatif
0.306;0.671;0.023;-0.9343;negatif
0.225;0.596;0.179;-0.1779;negatif
0.122;0.755;0.122;0.0;neutral
0.065;0.614;0.32;0.9059;positif
0.139;0.612;0.249;0.4019;positif
0.11;0.647;0.243;0.4767;positif
0.357;0.524;0.119;-0.7783;negatif
0.191;0.618;0.191;0.0;neutral
0.126;0.835;0.039;-0.6908;negatif
0.079;0.744;0.177;0.4939;positif
0.076;0.805;0.119;0.2263;positif
0.072;0.928;0.0;-0.5267;negatif
0.116;0.578;0.306;0.6808;positif
0.444;0.556;0.0;-0.6808;negatif
0.289;0.596;0.115;-0.6249;negatif
0.327;0.385;0.288;-0.4215;negatif
0.297;0.437;0.266;-0.1779;negatif
0.067;0.866;0.067;-0.25;negatif
0.254;0.373;0.373;0.1531;positif
0.111;0.719;0.17;-0.0516;negatif
0.254;0.649;0.097;-0.6486;negatif
0.343;0.303;0.354;-0.2263;negatif
0.187;0.495;0.319;0.1027;positif
0.128;0.642;0.23;0.4019;positif
0.345;0.508;0.147;-0.5994;negatif
0.0;0.873;0.127;0.6249;positif
0.241;0.615;0.144;-0.6249;negatif
0.432;0.349;0.219;-0.8271;negatif
0.143;0.422;0.435;0.7096;positif
0.386;0.341;0.273;-0.25;negatif
0.129;0.832;0.04;-0.6908;negatif
0.384;0.452;0.164;-0.5994;negatif
0.074;0.81;0.116;0.2263;positif
0.076;0.899;0.025;-0.5106;negatif
0.054;0.75;0.196;0.7828;positif
0.077;0.858;0.065;-0.128;negatif
0.075;0.925;0.0;-0.5267;negatif
0.124;0.82;0.056;-0.5719;negatif
0.264;0.692;0.044;-0.8179;negatif
0.077;0.882;0.041;-0.3818;negatif
0.095;0.905;0.0;-0.6124;negatif
0.169;0.81;0.02;-0.796;negatif
0.167;0.711;0.122;-0.4228;negatif
0.185;0.7;0.115;-0.4802;negatif
0.077;0.774;0.148;0.4767;positif
0.08;0.796;0.124;0.2263;positif
0.142;0.858;0.0;-0.7783;negatif
0.099;0.81;0.092;-0.1194;negatif
0.14;0.701;0.158;0.1779;positif
0.116;0.795;0.089;-0.34;negatif
0.108;0.892;0.0;-0.5267;negatif
0.179;0.673;0.148;-0.3818;negatif
0.677;0.323;0.0;-0.743;negatif
0.366;0.446;0.188;-0.4588;negatif
0.195;0.632;0.172;-0.34;negatif
0.412;0.48;0.108;-0.9287;negatif
0.379;0.446;0.174;-0.81;negatif
0.257;0.743;0.0;-0.8779;negatif
0.163;0.756;0.081;-0.5994;negatif
0.12;0.775;0.106;-0.1027;negatif
0.369;0.457;0.174;-0.5709;negatif
0.137;0.826;0.037;-0.714;negatif
0.169;0.831;0.0;-0.6908;negatif
0.041;0.843;0.116;0.6124;positif
0.053;0.86;0.087;0.2878;positif
0.0;0.936;0.064;0.1779;positif
0.241;0.759;0.0;-0.6908;negatif
0.139;0.825;0.036;-0.7269;negatif
0.224;0.694;0.082;-0.6705;negatif
0.124;0.758;0.118;-0.0997;negatif
0.088;0.855;0.057;-0.296;negatif
0.228;0.736;0.037;-0.8519;negatif
0.206;0.748;0.047;-0.7269;negatif
0.385;0.478;0.137;-0.8519;negatif
0.459;0.541;0.0;-0.7579;negatif
0.279;0.603;0.118;-0.6808;negatif
0.281;0.719;0.0;-0.6908;negatif
0.299;0.654;0.048;-0.8947;negatif
0.313;0.583;0.104;-0.7783;negatif
0.304;0.595;0.101;-0.7783;negatif
0.27;0.472;0.258;-0.0772;negatif
0.134;0.669;0.197;0.1531;positif
0.0;0.855;0.145;0.6249;positif
0.067;0.845;0.088;-0.2263;negatif
0.109;0.85;0.041;-0.5927;negatif
0.157;0.695;0.148;-0.0534;negatif
0.34;0.66;0.0;-0.8689;negatif
0.191;0.73;0.079;-0.4588;negatif
0.231;0.717;0.052;-0.7906;negatif
0.252;0.709;0.039;-0.8953;negatif
0.302;0.675;0.023;-0.9607;negatif
0.066;0.829;0.106;0.2716;positif
0.228;0.403;0.369;0.2732;positif
0.275;0.659;0.066;-0.743;negatif
0.155;0.802;0.044;-0.7003;negatif
0.202;0.536;0.262;0.0;neutral
0.079;0.886;0.035;-0.4404;negatif
0.139;0.683;0.179;0.25;positif
0.151;0.645;0.204;0.4588;positif
0.268;0.531;0.202;-0.3612;negatif
0.238;0.686;0.076;-0.6705;negatif
0.448;0.464;0.088;-0.9325;negatif
0.338;0.547;0.114;-0.6705;negatif
0.281;0.477;0.242;-0.2415;negatif
0.264;0.233;0.504;0.4767;positif
0.142;0.788;0.07;-0.34;negatif
0.141;0.747;0.112;-0.1779;negatif
0.071;0.689;0.24;0.7964;positif
0.095;0.84;0.064;-0.2732;negatif
0.153;0.765;0.082;-0.6908;negatif
0.155;0.761;0.084;-0.6908;negatif
0.184;0.703;0.114;-0.3182;negatif
0.139;0.697;0.164;-0.1027;negatif
0.283;0.583;0.133;-0.4215;negatif
0.093;0.742;0.165;0.3818;positif
0.129;0.644;0.227;0.3818;positif
0.181;0.691;0.128;-0.25;negatif
0.222;0.534;0.245;0.0094;positif
0.207;0.427;0.366;0.3818;positif
0.209;0.591;0.2;-0.0516;negatif
0.337;0.495;0.168;-0.4019;negatif
0.33;0.388;0.282;-0.128;negatif
0.338;0.662;0.0;-0.8807;negatif
0.337;0.545;0.119;-0.6597;negatif
0.133;0.546;0.321;0.9408;positif
0.404;0.596;0.0;-0.9042;negatif
0.327;0.673;0.0;-0.8807;negatif
0.183;0.591;0.226;-0.0516;negatif
0.069;0.931;0.0;-0.5267;negatif
0.151;0.753;0.097;-0.5859;negatif
0.097;0.846;0.057;-0.2263;negatif
0.321;0.679;0.0;-0.9517;negatif
0.236;0.626;0.137;-0.836;negatif
0.138;0.862;0.0;-0.7096;negatif
0.119;0.562;0.319;0.69;positif
0.168;0.761;0.071;-0.7717;negatif
0.417;0.583;0.0;-0.875;negatif
0.107;0.739;0.154;0.4588;positif
0.5;0.5;0.0;-0.9001;negatif
0.345;0.655;0.0;-0.875;negatif
0.444;0.556;0.0;-0.9595;negatif
0.314;0.628;0.059;-0.7964;negatif
0.332;0.55;0.118;-0.7227;negatif
0.071;0.929;0.0;-0.296;negatif
0.136;0.789;0.075;-0.6249;negatif
0.087;0.742;0.171;0.3182;positif
0.043;0.916;0.041;-0.0258;negatif
0.145;0.813;0.042;-0.4404;negatif
0.563;0.437;0.0;-0.9217;negatif
0.345;0.541;0.115;-0.7783;negatif
0.141;0.455;0.404;0.6369;positif
0.402;0.598;0.0;-0.8126;negatif
0.059;0.886;0.055;-0.0534;negatif
0.182;0.818;0.0;-0.4365;negatif
0.115;0.723;0.162;0.2211;positif
0.086;0.833;0.081;-0.0516;negatif
0.125;0.772;0.103;-0.1531;negatif
0.099;0.901;0.0;-0.5267;negatif
0.131;0.801;0.068;-0.4767;negatif
0.209;0.791;0.0;-0.5719;negatif
0.084;0.744;0.171;0.3612;positif
0.1;0.762;0.138;0.0772;positif
0.206;0.762;0.032;-0.8181;negatif
0.179;0.751;0.07;-0.7964;negatif
0.21;0.749;0.042;-0.8779;negatif
0.201;0.735;0.064;-0.8625;negatif
0.166;0.81;0.024;-0.8481;negatif
0.141;0.831;0.028;-0.6187;negatif
0.174;0.649;0.177;0.0332;positif
0.193;0.736;0.072;-0.7269;negatif
0.132;0.814;0.054;-0.4588;negatif
0.27;0.424;0.306;-0.34;negatif
0.16;0.792;0.048;-0.7506;negatif
0.143;0.675;0.181;-0.0258;negatif
0.168;0.769;0.062;-0.4404;negatif
0.185;0.667;0.148;-0.5413;negatif
0.071;0.714;0.214;0.699;positif
0.0;0.839;0.161;0.3612;positif
0.229;0.712;0.059;-0.9246;negatif
0.177;0.709;0.114;-0.5118;negatif
0.15;0.769;0.081;-0.5584;negatif
0.091;0.909;0.0;-0.5423;negatif
0.354;0.646;0.0;-0.9287;negatif
0.171;0.797;0.032;-0.6782;negatif
0.178;0.822;0.0;-0.7829;negatif
0.156;0.642;0.202;0.0;neutral
0.0;0.694;0.306;0.5267;positif
0.131;0.811;0.058;-0.4404;negatif
0.19;0.754;0.056;-0.7003;negatif
0.124;0.8;0.076;-0.3182;negatif
0.089;0.84;0.071;-0.1779;negatif
0.0;0.871;0.129;0.5994;positif
0.192;0.682;0.126;-0.4767;negatif
0.061;0.939;0.0;-0.5267;negatif
0.272;0.56;0.168;-0.5994;negatif
0.369;0.539;0.092;-0.8834;negatif
0.415;0.447;0.138;-0.7783;negatif
0.281;0.661;0.058;-0.8442;negatif
0.102;0.781;0.117;-0.128;negatif
0.195;0.744;0.061;-0.5149;negatif
0.085;0.877;0.038;-0.4404;negatif
0.157;0.751;0.092;-0.2263;negatif
0.105;0.712;0.183;0.3612;positif
0.114;0.886;0.0;-0.5994;negatif
0.236;0.739;0.025;-0.9231;negatif
0.077;0.864;0.059;-0.2023;negatif
0.07;0.9;0.031;-0.4404;negatif
0.148;0.739;0.113;-0.3818;negatif
0.155;0.773;0.073;-0.5574;negatif
0.121;0.783;0.096;-0.1779;negatif
0.0;0.859;0.141;0.5574;positif
0.066;0.812;0.122;0.4404;positif
0.135;0.637;0.227;0.3182;positif
0.067;0.933;0.0;-0.5267;negatif
0.089;0.842;0.068;-0.2023;negatif
0.197;0.769;0.034;-0.7775;negatif
0.061;0.784;0.155;0.6486;positif
0.157;0.648;0.194;0.2023;positif
0.0;0.882;0.118;0.6249;positif
0.155;0.776;0.068;-0.4404;negatif
0.38;0.62;0.0;-0.9584;negatif
0.167;0.833;0.0;-0.7783;negatif
0.096;0.761;0.144;0.1779;positif
0.068;0.862;0.07;-0.2263;negatif
0.074;0.893;0.033;-0.4404;negatif
0.116;0.884;0.0;-0.5267;negatif
0.165;0.799;0.036;-0.743;negatif
0.077;0.923;0.0;-0.5267;negatif
0.088;0.779;0.132;0.1779;positif
0.63;0.37;0.0;-0.5267;negatif
0.079;0.86;0.06;-0.2023;negatif
0.18;0.82;0.0;-0.765;negatif
0.062;0.729;0.209;0.7964;positif
0.099;0.754;0.148;0.1779;positif
0.107;0.818;0.075;-0.25;negatif
0.165;0.777;0.058;-0.6597;negatif
0.105;0.774;0.121;-0.128;negatif
0.264;0.62;0.116;-0.4404;negatif
0.283;0.604;0.113;-0.8481;negatif
0.217;0.701;0.083;-0.4767;negatif
0.112;0.839;0.049;-0.7003;negatif
0.071;0.898;0.031;-0.4404;negatif
0.069;0.87;0.061;-0.34;negatif
0.102;0.898;0.0;-0.7783;negatif
0.108;0.813;0.078;-0.4404;negatif
0.107;0.846;0.047;-0.4404;negatif
0.085;0.823;0.092;-0.1779;negatif
0.079;0.858;0.063;-0.1779;negatif
0.159;0.773;0.068;-0.5994;negatif
0.132;0.817;0.051;-0.7351;negatif
0.118;0.856;0.026;-0.7506;negatif
0.071;0.856;0.073;-0.2263;negatif
0.152;0.695;0.152;0.0;neutral
0.134;0.866;0.0;-0.6939;negatif
0.086;0.914;0.0;-0.5267;negatif
0.123;0.812;0.065;-0.6369;negatif
0.137;0.81;0.053;-0.5574;negatif
0.327;0.52;0.153;-0.8658;negatif
0.063;0.909;0.028;-0.4404;negatif
0.178;0.822;0.0;-0.8807;negatif
0.059;0.941;0.0;-0.5267;negatif
0.121;0.816;0.064;-0.6369;negatif
0.249;0.751;0.0;-0.8625;negatif
0.155;0.803;0.041;-0.6597;negatif
0.081;0.861;0.057;-0.25;negatif
0.142;0.667;0.192;0.0516;positif
0.117;0.724;0.159;0.0516;positif
0.226;0.774;0.0;-0.7717;negatif
0.132;0.722;0.146;-0.0823;negatif
0.0;0.881;0.119;0.2263;positif
0.0;0.962;0.038;0.128;positif
0.155;0.79;0.055;-0.8225;negatif
0.241;0.638;0.121;-0.5267;negatif
0.215;0.57;0.215;0.0;neutral
0.212;0.788;0.0;-0.8316;negatif
0.226;0.774;0.0;-0.8807;negatif
0.128;0.807;0.066;-0.6486;negatif
0.073;0.86;0.067;-0.0772;negatif
0.211;0.683;0.106;-0.4019;negatif
0.193;0.807;0.0;-0.8834;negatif
0.076;0.924;0.0;-0.2263;negatif
0.321;0.519;0.16;-0.5267;negatif
0.18;0.737;0.083;-0.4877;negatif
0.204;0.796;0.0;-0.7845;negatif
0.058;0.849;0.093;0.2716;positif
0.163;0.674;0.163;0.0;neutral
0.201;0.799;0.0;-0.7783;negatif
0.081;0.883;0.036;-0.4404;negatif
0.062;0.881;0.057;-0.0772;negatif
0.121;0.814;0.065;-0.5456;negatif
0.114;0.67;0.216;0.469;positif
0.34;0.66;0.0;-0.7717;negatif
0.0;0.92;0.08;0.5267;positif
0.163;0.766;0.072;-0.4404;negatif
0.08;0.847;0.073;-0.0772;negatif
0.0;0.695;0.305;0.8828;positif
0.0;0.807;0.193;0.6705;positif
0.054;0.922;0.024;-0.4404;negatif
0.383;0.489;0.128;-0.7783;negatif
0.114;0.886;0.0;-0.7783;negatif
0.141;0.859;0.0;-0.6939;negatif
0.174;0.826;0.0;-0.8519;negatif
0.135;0.749;0.116;-0.25;negatif
0.0;0.702;0.298;0.5267;positif
0.214;0.629;0.157;-0.2263;negatif
0.131;0.772;0.097;-0.2263;negatif
0.063;0.86;0.077;0.128;positif
0.402;0.392;0.206;-0.4588;negatif
0.199;0.736;0.065;-0.775;negatif
0.188;0.812;0.0;-0.7717;negatif
0.118;0.623;0.259;0.7204;positif
0.201;0.71;0.089;-0.4404;negatif
0.183;0.484;0.333;0.2023;positif
0.11;0.81;0.079;-0.4404;negatif
0.261;0.739;0.0;-0.7717;negatif
0.137;0.808;0.055;-0.6249;negatif
0.19;0.782;0.028;-0.8658;negatif
0.218;0.682;0.101;-0.5574;negatif
0.218;0.692;0.09;-0.5831;negatif
0.144;0.776;0.08;-0.4588;negatif
0.142;0.782;0.076;-0.4767;negatif
0.131;0.769;0.1;-0.2023;negatif
